Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0118,001,24FP7803,99250,494670,365,,370,120,70,1985/06/14,1989/08/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0118,001,1985/06/14 00:00:00,109,
B24F0118,001,1985/06/28 00:00:00,100,
B24F0118,001,1985/07/15 00:00:00,114,
B24F0118,001,1985/07/29 00:00:00,108,
B24F0118,001,1985/08/14 00:00:00,99,
B24F0118,001,1985/08/30 00:00:00,107,
B24F0118,001,1985/09/14 00:00:00,113,
B24F0118,001,1985/09/28 00:00:00,117,
B24F0118,001,1985/10/14 00:00:00,118,
B24F0118,001,1985/10/28 00:00:00,122,
B24F0118,001,1985/11/14 00:00:00,106,
B24F0118,001,1985/11/28 00:00:00,107,
B24F0118,001,1985/12/14 00:00:00,101,
B24F0118,001,1985/12/28 00:00:00,95,
B24F0118,001,1986/01/14 00:00:00,84,
B24F0118,001,1986/01/28 00:00:00,78,
B24F0118,001,1986/03/14 00:00:00,95,
B24F0118,001,1986/03/28 00:00:00,93,
B24F0118,001,1986/04/14 00:00:00,96,
B24F0118,001,1986/04/28 00:00:00,100,
B24F0118,001,1986/05/14 00:00:00,102,
B24F0118,001,1986/05/28 00:00:00,106,
B24F0118,001,1986/06/14 00:00:00,108,
B24F0118,001,1986/06/28 00:00:00,115,
B24F0118,001,1986/07/14 00:00:00,123,
B24F0118,001,1986/07/28 00:00:00,125,
B24F0118,001,1986/08/14 00:00:00,130,
B24F0118,001,1986/08/28 00:00:00,131,
B24F0118,001,1986/09/14 00:00:00,129,
B24F0118,001,1986/09/28 00:00:00,133,
B24F0118,001,1986/10/14 00:00:00,136,
B24F0118,001,1986/10/28 00:00:00,107,
B24F0118,001,1986/11/14 00:00:00,103,
B24F0118,001,1986/11/28 00:00:00,97,
B24F0118,001,1986/12/14 00:00:00,100,
B24F0118,001,1986/12/28 00:00:00,89,
B24F0118,001,1987/01/14 00:00:00,,Y
B24F0118,001,1987/01/28 00:00:00,,Y
B24F0118,001,1987/02/14 00:00:00,76,
B24F0118,001,1987/02/28 00:00:00,84,
B24F0118,001,1987/03/14 00:00:00,82,
B24F0118,001,1987/03/28 00:00:00,77,
B24F0118,001,1987/04/14 00:00:00,86,
B24F0118,001,1987/04/28 00:00:00,89,
B24F0118,001,1987/05/14 00:00:00,97,
B24F0118,001,1987/05/28 00:00:00,100,
B24F0118,001,1987/06/14 00:00:00,96,
B24F0118,001,1987/06/28 00:00:00,103,
B24F0118,001,1987/07/14 00:00:00,96,
B24F0118,001,1987/07/28 00:00:00,63,
B24F0118,001,1987/08/14 00:00:00,77,
B24F0118,001,1987/08/28 00:00:00,79,
B24F0118,001,1987/09/14 00:00:00,88,
B24F0118,001,1987/09/28 00:00:00,94,
B24F0118,001,1987/10/14 00:00:00,81,
B24F0118,001,1987/10/28 00:00:00,88,
B24F0118,001,1987/11/14 00:00:00,88,
B24F0118,001,1987/11/28 00:00:00,69,
B24F0118,001,1987/12/14 00:00:00,,Y
B24F0118,001,1987/12/28 00:00:00,65,
B24F0118,001,1988/01/14 00:00:00,54,
B24F0118,001,1988/01/28 00:00:00,36,
B24F0118,001,1988/02/14 00:00:00,32,
B24F0118,001,1988/02/28 00:00:00,33,
B24F0118,001,1988/03/14 00:00:00,30,
B24F0118,001,1988/03/28 00:00:00,28,
B24F0118,001,1988/04/14 00:00:00,41,
B24F0118,001,1988/04/28 00:00:00,49,
B24F0118,001,1988/11/14 00:00:00,95,
B24F0118,001,1988/11/28 00:00:00,94,
B24F0118,001,1989/03/14 00:00:00,73,
B24F0118,001,1989/03/28 00:00:00,71,
B24F0118,001,1989/04/14 00:00:00,62,
B24F0118,001,1989/04/28 00:00:00,67,
B24F0118,001,1989/05/14 00:00:00,80,
B24F0118,001,1989/05/28 00:00:00,88,
B24F0118,001,1989/06/14 00:00:00,93,
B24F0118,001,1989/06/28 00:00:00,98,
B24F0118,001,1989/07/14 00:00:00,105,
B24F0118,001,1989/07/28 00:00:00,111,
